Print ISSN,E-ISSN,Field,Journal Title,Publisher,AJG 2024
0001-4826,1558-7967,ACCOUNT,Accounting Review,American Accounting Association,4*
0361-3682,1873-6289,ACCOUNT,"Accounting, Organizations and Society",Elsevier,4*
0165-4101,1879-1980,ACCOUNT,Journal of Accounting and Economics,Elsevier,4*
0021-8456,1475-679X,ACCOUNT,Journal of Accounting Research,Wiley-Blackwell,4*
0823-9150,1911-3846,ACCOUNT,Contemporary Accounting Research,Wiley-Blackwell,4
1380-6653,1573-7136,ACCOUNT,Review of Accounting Studies,Springer Nature,4
0001-3072,1467-6281,ACCOUNT,Abacus,Wiley-Blackwell,3
0001-4788,2159-4260,ACCOUNT,Accounting and Business Research,Taylor & Francis,3
0155-9982,1467-6303,ACCOUNT,Accounting Forum,Taylor & Francis,3
0888-7993,1558-7975,ACCOUNT,Accounting Horizons,American Accounting Association,3
0951-3574,1758-4205,ACCOUNT,"Accounting, Auditing and Accountability Journal",Emerald,3
0278-0380,1558-7991,ACCOUNT,Auditing,American Accounting Association,3
1050-4753,1558-8009,ACCOUNT,Behavioral Research in Accounting,American Accounting Association,3
0890-8389,1095-8347,ACCOUNT,British Accounting Review,Elsevier,3
0007-1870,2754-1525,ACCOUNT,British Tax Review,Thomson Reuters,3
1045-2354,1095-9955,ACCOUNT,Critical Perspectives on Accounting,Elsevier,3
0963-8180,1468-4497,ACCOUNT,European Accounting Review,Taylor & Francis,3
0267-4424,1468-0408,ACCOUNT,Financial Accountability and Management,Wiley-Blackwell,3
1554-0642,1554-0650,ACCOUNT,Foundations and Trends in Accounting,Now Publishers Inc.,3
1094-4060,2213-3933,ACCOUNT,International Journal of Accounting,World Scientific,3
0278-4254,1873-2070,ACCOUNT,Journal of Accounting and Public Policy,Elsevier,3
0737-4607,2452-1469,ACCOUNT,Journal of Accounting Literature,Emerald,3
0148-558X,2160-4061,ACCOUNT,"Journal of Accounting, Auditing and Finance",SAGE,3
0306-686X,1468-5957,ACCOUNT,Journal of Business Finance and Accounting,Wiley-Blackwell,3
2380-2154,2380-2146,ACCOUNT,Journal of Financial Reporting,American Accounting Association,3
1061-9518,1879-1603,ACCOUNT,"Journal of International Accounting, Auditing and Taxation",Elsevier,3
0198-9073,1558-8017,ACCOUNT,Journal of the American Taxation Association,American Accounting Association,3
1044-5005,1096-1224,ACCOUNT,Management Accounting Research,Elsevier,3
0810-5391,1467-629X,ACCOUNT,Accounting and Finance,Wiley-Blackwell,2
1530-9320,1530-9320,ACCOUNT,Accounting and the Public Interest,American Accounting Association,2
1744-9480,1744-9499,ACCOUNT,Accounting in Europe,Taylor & Francis,2
1030-9616,1839-5465,ACCOUNT,Accounting Research Journal,Emerald,2
,2152-2820,ACCOUNT,"Accounting, Economics and Law: A Convivium",Walter de Gruyter,2
0882-6110,1046-5715,ACCOUNT,Advances in Accounting,Elsevier,2
