JournalTitle,Discipline,List,Edition,Rank
比较法研究,法学,CSSCI,2025-2026,1
财经法学,法学,CSSCI,2025-2026,2
当代法学,法学,CSSCI,2025-2026,3
东方法学,法学,CSSCI,2025-2026,4
法律科学（西北政法大学学报),法学,CSSCI,2025-2026,5
法律适用,法学,CSSCI,2025-2026,6
法商研究,法学,CSSCI,2025-2026,7
法学,法学,CSSCI,2025-2026,8
法学家,法学,CSSCI,2025-2026,9
法学论坛,法学,CSSCI,2025-2026,10
法学评论,法学,CSSCI,2025-2026,11
法学研究,法学,CSSCI,2025-2026,12
法学杂志,法学,CSSCI,2025-2026,13
法制与社会发展,法学,CSSCI,2025-2026,14
法治研究,法学,CSSCI,2025-2026,15
国家检察官学院学报,法学,CSSCI,2025-2026,16
华东政法大学学报,法学,CSSCI,2025-2026,17
环球法律评论,法学,CSSCI,2025-2026,18
南大法学,法学,CSSCI,2025-2026,19
清华法学,法学,CSSCI,2025-2026,20
现代法学,法学,CSSCI,2025-2026,21
行政法学研究,法学,CSSCI,2025-2026,22
月旦法学,法学,CSSCI,2025-2026,23
政大法学评论,法学,CSSCI,2025-2026,24
政法论丛,法学,CSSCI,2025-2026,25
政法论坛,法学,CSSCI,2025-2026,26
政治与法律,法学,CSSCI,2025-2026,27
知识产权,法学,CSSCI,2025-2026,28
中国法律评论,法学,CSSCI,2025-2026,29
中国法学,法学,CSSCI,2025-2026,30
中国刑事法杂志,法学,CSSCI,2025-2026,31
中国应用法学,法学,CSSCI,2025-2026,32
中外法学,法学,CSSCI,2025-2026,33
安徽大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,34
安徽师范大学学报(社会科学版),高校学报,CSSCI,2025-2026,35
澳门理工学报(人文社会科学版),高校学报,CSSCI,2025-2026,36
北京大学学报（哲学社会科学版),高校学报,CSSCI,2025-2026,37
北京工业大学学报(社会科学版),高校学报,CSSCI,2025-2026,38
北京联合大学学报(人文社会科学版),高校学报,CSSCI,2025-2026,39
北京师范大学学报(社会科学版),高校学报,CSSCI,2025-2026,40
重庆大学学报(社会科学版),高校学报,CSSCI,2025-2026,41
大连理工大学学报(社会科学版),高校学报,CSSCI,2025-2026,42
东北大学学报(社会科学版),高校学报,CSSCI,2025-2026,43
东北师大学报(哲学社会科学版),高校学报,CSSCI,2025-2026,44
东南大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,45
福建师范大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,46
复旦学报（社会科学版),高校学报,CSSCI,2025-2026,47
广西大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,48
广州大学学报(社会科学版),高校学报,CSSCI,2025-2026,49
海南大学学报(人文社会科学版),高校学报,CSSCI,2025-2026,50
河海大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,51
河南大学学报(社会科学版),高校学报,CSSCI,2025-2026,52
河南师范大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,53
湖北大学学报(哲学社会科学版),高校学报,CSSCI,2025-2026,54
湖南大学学报(社会科学版),高校学报,CSSCI,2025-2026,55
湖南科技大学学报(社会科学版),高校学报,CSSCI,2025-2026,56
湖南师范大学社会科学学报,高校学报,CSSCI,2025-2026,57
华东师范大学学报(哲学社会科学版）,高校学报,CSSCI,2025-2026,58
华南农业大学学报(社会科学版),高校学报,CSSCI,2025-2026,59
华南师范大学学报(社会科学版),高校学报,CSSCI,2025-2026,60
华中科技大学学报(社会科学版),高校学报,CSSCI,2025-2026,61
华中农业大学学报(社会科学版),高校学报,CSSCI,2025-2026,62
华中师范大学学报(人文社会科学版),高校学报,CSSCI,2025-2026,63
吉林大学社会科学学报,高校学报,CSSCI,2025-2026,64
吉首大学学报(社会科学版),高校学报,CSSCI,2025-2026,65
济南大学学报(社会科学版),高校学报,CSSCI,2025-2026,66
暨南学报(哲学社会科学版),高校学报,CSSCI,2025-2026,67
