JournalTitle,Discipline,List,Edition,Rank
阿拉伯世界研究,政治学,CSSCI Extended,2025-2026,1
北方法学,法学,CSSCI Extended,2025-2026,2
北京第二外国语学院学报,语言学,CSSCI Extended,2025-2026,3
北京航空航天大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,4
北京交通大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,5
北京理工大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,6
北京社会科学,综合性社会科学,CSSCI Extended,2025-2026,7
比较教育学报,教育学,CSSCI Extended,2025-2026,8
边界与海洋研究,政治学,CSSCI Extended,2025-2026,9
财务研究,管理学,CSSCI Extended,2025-2026,10
财政科学,经济学,CSSCI Extended,2025-2026,11
产经评论,经济学,CSSCI Extended,2025-2026,12
产业经济评论,经济学,CSSCI Extended,2025-2026,13
重庆高教研究,教育学,CSSCI Extended,2025-2026,14
出版广角,新闻学与传播学,CSSCI Extended,2025-2026,15
出版与印刷,新闻学与传播学,CSSCI Extended,2025-2026,16
传媒,新闻学与传播学,CSSCI Extended,2025-2026,17
辞书研究,语言学,CSSCI Extended,2025-2026,18
大学与学科,教育学,CSSCI Extended,2025-2026,19
当代电视,艺术学,CSSCI Extended,2025-2026,20
当代会计评论,管理学,CSSCI Extended,2025-2026,21
当代青年研究,社会学,CSSCI Extended,2025-2026,22
当代舞蹈艺术研究,艺术学,CSSCI Extended,2025-2026,23
当代中国与世界,政治学,CSSCI Extended,2025-2026,24
党内法规研究,法学,CSSCI Extended,2025-2026,25
地方财政研究,经济学,CSSCI Extended,2025-2026,26
地方立法研究,法学,CSSCI Extended,2025-2026,27
地方治理研究,管理学,CSSCI Extended,2025-2026,28
电影新作,艺术学,CSSCI Extended,2025-2026,29
调研世界,统计学,CSSCI Extended,2025-2026,30
东方学刊,综合性社会科学,CSSCI Extended,2025-2026,31
东疆学刊,民族学与文化学,CSSCI Extended,2025-2026,32
对外传播,新闻学与传播学,CSSCI Extended,2025-2026,33
俄罗斯东欧中亚研究,政治学,CSSCI Extended,2025-2026,34
俄罗斯文艺,外国文学,CSSCI Extended,2025-2026,35
俄罗斯研究,政治学,CSSCI Extended,2025-2026,36
佛学研究,宗教学,CSSCI Extended,2025-2026,37
甘肃政法大学学报,法学,CSSCI Extended,2025-2026,38
干旱区资源与环境,自然资源与环境科学,CSSCI Extended,2025-2026,39
高教探索,教育学,CSSCI Extended,2025-2026,40
工业工程设计,艺术学,CSSCI Extended,2025-2026,41
工业技术经济,经济学,CSSCI Extended,2025-2026,42
公安学研究,政治学,CSSCI Extended,2025-2026,43
管理案例研究与评论,管理学,CSSCI Extended,2025-2026,44
管理现代化,管理学,CSSCI Extended,2025-2026,45
广东外语外贸大学学报,外国文学,CSSCI Extended,2025-2026,46
广西民族大学学报(哲学社会科学版),民族学与文化学,CSSCI Extended,2025-2026,47
广西社会科学,综合性社会科学,CSSCI Extended,2025-2026,48
广西师范大学学报(哲学社会科学版),高校学报,CSSCI Extended,2025-2026,49
规划师,人文经济地理,CSSCI Extended,2025-2026,50
贵州大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,51
贵州师范大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,52
国际城市规划,人文经济地理,CSSCI Extended,2025-2026,53
国际法研究,法学,CSSCI Extended,2025-2026,54
国际汉语教学研究,教育学,CSSCI Extended,2025-2026,55
国际儒学(中英文),中华传统文化,CSSCI Extended,2025-2026,56
国际商务研究,经济学,CSSCI Extended,2025-2026,57
国际中文教育(中英文),教育学,CSSCI Extended,2025-2026,58
国际中文教育学报(International Journal of Chinese Language Education),教育学,CSSCI Extended,2025-2026,59
国家安全研究,政治学,CSSCI Extended,2025-2026,60
国家现代化建设研究,政治学,CSSCI Extended,2025-2026,61
国家治理,综合性社会科学,CSSCI Extended,2025-2026,62
哈尔滨工业大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,63
哈尔滨商业大学学报(社会科学版),经济学,CSSCI Extended,2025-2026,64
海交史研究,中华传统文化,CSSCI Extended,2025-2026,65
海南师范大学学报(社会科学版),中国文学,CSSCI Extended,2025-2026,66
汉语言文字学研究,中国文学,CSSCI Extended,2025-2026,67
杭州师范大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,68
河北大学学报(哲学社会科学版),高校学报,CSSCI Extended,2025-2026,69
河北法学,法学,CSSCI Extended,2025-2026,70
河北经贸大学学报,经济学,CSSCI Extended,2025-2026,71
河北师范大学学报(教育科学版),教育学,CSSCI Extended,2025-2026,72
河南社会科学,综合性社会科学,CSSCI Extended,2025-2026,73
黑龙江高教研究,教育学,CSSCI Extended,2025-2026,74
黑龙江民族丛刊,民族学与文化学,CSSCI Extended,2025-2026,75
红楼梦学刊,中国文学,CSSCI Extended,2025-2026,76
宏观经济管理,管理学,CSSCI Extended,2025-2026,77
湖北社会科学,综合性社会科学,CSSCI Extended,2025-2026,78
湖南农业大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,79
湖南社会科学,综合性社会科学,CSSCI Extended,2025-2026,80
湖湘论坛,政治学,CSSCI Extended,2025-2026,81
华东理工大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,82
华文季刊(Journal of Chinese Language Education),教育学,CSSCI Extended,2025-2026,83
华夏考古,考古学,CSSCI Extended,2025-2026,84
环境保护,自然资源与环境科学,CSSCI Extended,2025-2026,85
环境经济研究,经济学,CSSCI Extended,2025-2026,86
黄钟(武汉音乐学院学报),艺术学,CSSCI Extended,2025-2026,87
计量经济学报,经济学,CSSCI Extended,2025-2026,88
技术经济,经济学,CSSCI Extended,2025-2026,89
江南大学学报(人文社会科学版),高校学报,CSSCI Extended,2025-2026,90
江苏大学学报(社会科学版),高校学报,CSSCI Extended,2025-2026,91
江西财经大学学报,经济学,CSSCI Extended,2025-2026,92
交大法学,法学,CSSCI Extended,2025-2026,93
教育经济评论,教育学,CSSCI Extended,2025-2026,94
教育科学研究,教育学,CSSCI Extended,2025-2026,95
