JournalTitle,Category,List,Edition,OverallRank,CategoryRank
中国社会科学,综合人文、社会科学类,PKU Core,2023,1,1
学术月刊,综合人文、社会科学类,PKU Core,2023,2,2
中国人民大学学报,综合人文、社会科学类,PKU Core,2023,3,3
北京大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,4,4
南京社会科学,综合人文、社会科学类,PKU Core,2023,5,5
武汉大学学报·哲学社会科学版,综合人文、社会科学类,PKU Core,2023,6,6
探索与争鸣,综合人文、社会科学类,PKU Core,2023,7,7
社会科学,综合人文、社会科学类,PKU Core,2023,8,8
北京师范大学学报.社会科学版,综合人文、社会科学类,PKU Core,2023,9,9
清华大学学报·哲学社会科学版,综合人文、社会科学类,PKU Core,2023,10,10
社会科学战线,综合人文、社会科学类,PKU Core,2023,11,11
华中师范大学学报.人文社会科学版,综合人文、社会科学类,PKU Core,2023,12,12
浙江社会科学,综合人文、社会科学类,PKU Core,2023,13,13
南京大学学报·哲学・人文科学・社会科学,综合人文、社会科学类,PKU Core,2023,14,14
复旦学报.社会科学版,综合人文、社会科学类,PKU Core,2023,15,15
社会科学研究,综合人文、社会科学类,PKU Core,2023,16,16
江苏社会科学,综合人文、社会科学类,PKU Core,2023,17,17
厦门大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,18,18
西南民族大学学报.人文社会科学版,综合人文、社会科学类,PKU Core,2023,19,19
吉林大学社会科学学报,综合人文、社会科学类,PKU Core,2023,20,20
南开学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,21,21
学习与探索,综合人文、社会科学类,PKU Core,2023,22,22
西安交通大学学报·社会科学版,综合人文、社会科学类,PKU Core,2023,23,23
中州学刊,综合人文、社会科学类,PKU Core,2023,24,24
思想战线,综合人文、社会科学类,PKU Core,2023,25,25
东南学术,综合人文、社会科学类,PKU Core,2023,26,26
学术研究,综合人文、社会科学类,PKU Core,2023,27,27
山东大学学报·哲学社会科学版,综合人文、社会科学类,PKU Core,2023,28,28
文史哲,综合人文、社会科学类,PKU Core,2023,29,29
华东师范大学学报·哲学社会科学版,综合人文、社会科学类,PKU Core,2023,30,30
江海学刊,综合人文、社会科学类,PKU Core,2023,31,31
学海,综合人文、社会科学类,PKU Core,2023,32,32
中山大学学报·社会科学版,综合人文、社会科学类,PKU Core,2023,33,33
四川大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,34,34
西南大学学报·社会科学版,综合人文、社会科学类,PKU Core,2023,35,35
天津社会科学,综合人文、社会科学类,PKU Core,2023,36,36
陕西师范大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,37,37
山东社会科学,综合人文、社会科学类,PKU Core,2023,38,38
西北师大学报.社会科学版,综合人文、社会科学类,PKU Core,2023,39,39
重庆大学学报.社会科学版,综合人文、社会科学类,PKU Core,2023,40,40
人文杂志,综合人文、社会科学类,PKU Core,2023,41,41
河海大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,42,42
湖南师范大学社会科学学报,综合人文、社会科学类,PKU Core,2023,43,43
西北大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,44,44
求是学刊,综合人文、社会科学类,PKU Core,2023,45,45
浙江大学学报.人文社会科学版,综合人文、社会科学类,PKU Core,2023,46,46
贵州社会科学,综合人文、社会科学类,PKU Core,2023,47,47
华南师范大学学报.社会科学版,综合人文、社会科学类,PKU Core,2023,48,48
新疆师范大学学报.哲学社会科学版,综合人文、社会科学类,PKU Core,2023,49,49
甘肃社会科学,综合人文、社会科学类,PKU Core,2023,50,50
浙江学刊,综合人文、社会科学类,PKU Core,2023,51,51
南京师大学报.社会科学版,综合人文、社会科学类,PKU Core,2023,52,52
河北学刊,综合人文、社会科学类,PKU Core,2023,53,53
上海大学学报.社会科学版,综合人文、社会科学类,PKU Core,2023,54,54
东岳论丛,综合人文、社会科学类,PKU Core,2023,55,55
华中科技大学学报.社会科学版,综合人文、社会科学类,PKU Core,2023,56,56
学习与实践,综合人文、社会科学类,PKU Core,2023,57,57
