Source title,Source Type,ISSN,EISSN,Publisher,Country/Region,Language,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8
2D Materials,Journal,-,20531583,Institute of Physics,United States,ENGLISH,Chemistry (all),Mechanical Engineering,Mechanics of Materials,Materials Science (all),Condensed Matter Physics,-,-,-
3D Printing and Additive Manufacturing,Journal,23297662,23297670,SAGE Publications Ltd,United States,ENGLISH,Industrial and Manufacturing Engineering,Materials Science (miscellaneous),-,-,-,-,-,-
3D Printing in Medicine,Journal,-,23656271,BioMed Central Ltd,Switzerland,ENGLISH,Computer Science Applications,Biomedical Engineering,"Radiology, Nuclear Medicine and Imaging",-,-,-,-,-
4OR,Journal,16194500,16142411,Springer,Germany,ENGLISH,Management Information Systems,Computational Theory and Mathematics,Management Science and Operations Research,Theoretical Computer Science,-,-,-,-
AAC: Augmentative and Alternative Communication,Journal,07434618,14773848,Taylor and Francis Ltd.,United Kingdom,ENGLISH,Rehabilitation,Speech and Hearing,-,-,-,-,-,-
AAPG Bulletin,Journal,01491423,-,American Association of Petroleum Geologists,United States,ENGLISH,Earth and Planetary Sciences (miscellaneous),Geochemistry and Petrology,Geology,Energy Engineering and Power Technology,Fuel Technology,-,-,-
AATCC Journal of Research,Journal,24723444,23305517,SAGE Publications Inc.,United States,ENGLISH,Process Chemistry and Technology,Materials Chemistry,Polymers and Plastics,-,-,-,-,-
ABB Review,Journal,10133119,-,ABB Corporate Management Services AG,Switzerland,ENGLISH,Electrical and Electronic Engineering,Mechanical Engineering,-,-,-,-,-,-
aBIOTECH,Journal,20966326,26621738,Editorial Department of Scientia Agricultura Sinica,Singapore,ENGLISH,Agronomy and Crop Science,Plant Science,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Biotechnology,Genetics,Molecular Biology,-,-
ABU Technical Review,Journal,01266209,-,Asia Pacific Broadcasting Union,Malaysia,ENGLISH,Electrical and Electronic Engineering,-,-,-,-,-,-,-
Accident Analysis and Prevention,Journal,00014575,18792057,Elsevier Ltd,United Kingdom,ENGLISH,"Safety, Risk, Reliability and Quality","Public Health, Environmental and Occupational Health",Human Factors and Ergonomics,Law,Transportation,-,-,-
ACI Materials Journal,Journal,0889325X,-,American Concrete Institute,United States,ENGLISH,Civil and Structural Engineering,Building and Construction,Materials Science (all),-,-,-,-,-
ACI Structural Journal,Journal,08893241,-,American Concrete Institute,United States,ENGLISH,Civil and Structural Engineering,Building and Construction,-,-,-,-,-,-
