"Journal title","List","Official source","Effective date"
"Academy of Management Annals","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Academy of Management Journal","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Academy of Management Review","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"The Accounting Review","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Accounting, Organizations and Society","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Administrative Science Quarterly","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"American Economic Review","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"American Sociological Review","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Contemporary Accounting Research","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Econometrica","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Entrepreneurship Theory and Practice","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Harvard Business Review","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Human Resource Management","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Information Systems Research","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Accounting and Economics","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Accounting Research","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Applied Psychology","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Business Venturing","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Consumer Psychology","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Consumer Research","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Finance","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Financial and Quantitative Analysis","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Financial Economics","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of International Business Studies","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Management","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Management Information Systems","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Management Studies","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Marketing","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Marketing Research","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Operations Management","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of Political Economy","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Journal of the Academy of Marketing Science","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Management Science","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Manufacturing & Service Operations Management","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Marketing Science","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"MIS Quarterly","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"MIT Sloan Management Review","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Operations Research","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Organization Science","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Organizational Behavior and Human Decision Processes","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Production and Operations Management","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Psychological Science","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Quarterly Journal of Economics","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Research Policy","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Review of Accounting Studies","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Review of Economic Studies","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Review of Finance","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Review of Financial Studies","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Strategic Entrepreneurship Journal","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
"Strategic Management Journal","FT50 2026","https://www.ft.com/content/db863a0a-6524-45f9-bc52-fee997634bdc","2026-04-29"
