Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Titles Discontinued by Scopus,Article Language in Source (Three-Letter ISO Language Codes),Medline-sourced Title? (See additional details under separate tab.),Open Access Status,Articles in Press Included?,Added to List July 2026,Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Publisher,Publisher Imprints Grouped to Main Publisher,All Science Journal Classification Codes (ASJC),"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions"
21101170611,@GRH,20349130,22959149,Active,2026; 2023-2024,,ENG; FRE,,,,,Journal,,,,,,Association Francophone de Gestion des Relations Humaines,Association Francophone de Gestion des Relations Humaines,1407,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
21100902951,[Hifu] Skin research,00181390,,Inactive,1959-2001,,JPN,,,,,Journal,Continued as,Skin Research,,,,Osaka University Medical School,Osaka University Medical School,2708; 2725,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
26063,[Rinsho ketsueki] The Japanese journal of clinical hematology,04851439,18820824,Inactive,1972-2016,,,,,,,Journal,,,,,,Nihon Rinsho Ketsueki Gakkai/Japan Society of Clinical Hematology,Nihon Rinsho Ketsueki Gakkai/Japan Society of Clinical Hematology,2700,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
40160,[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai,03694739,,Inactive,1972-1997,,JPN,,,,,Journal,Continued as,Japanese Journal of Thoracic and Cardiovascular Surgery,,,,Nihon Kyobu Geka Gakkai,Nihon Kyobu Geka Gakkai,2705,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
21100832755,1700-tal: Nordic Journal for Eighteenth-Century Studies,16524772,20019866,Active,2019-2024; 2016-2017,,DAN; FIN; GER; NOR,,Unpaywall Open Access,,,Journal,,,,,,Swedish Society for Eighteenth-Century Studies,Swedish Society for Eighteenth-Century Studies,1213; 3316; 1202,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21101194408,20 & 21: Revue d'Histoire,2649664X,26496100,Active,2022-2024,,ENG; FRE,,,,,Journal,Formerly known as,Vingtieme Siecle: Revue d'Histoire,,,,Presses de Sciences Po,Presses de Sciences Po,1202,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
18500162600,21st Century Music,15343219,,Inactive,2002-2011,,ENG,,,,,Journal,,,,,,21st-Century Music,21st-Century Music,1210,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21100404576,2D Materials,,20531583,Active,2014-2026,,ENG,,,,,Journal,,,,,,IOP Publishing Ltd.,Institute of Physics Publishing,2210; 2211; 3104; 2500; 1600,,,Physical Sciences,,,,,,,,Chemistry ,,,,,,Engineering ,,,Materials Science ,,,,,,Physics and Astronomy ,,,,,
21100447128,3 Biotech,2190572X,21905738,Active,2011-2026,,ENG,,,,,Journal,,,,,,Springer Science and Business Media Deutschland GmbH,Springer Nature,2301; 1101; 1305,Life Sciences,,Physical Sciences,,,Agricultural and Biological Sciences ,,"Biochemistry, Genetics and Molecular Biology ",,,,,,,,,,Environmental Science ,,,,,,,,,,,,,
21100779062,3D Printing and Additive Manufacturing,23297662,23297670,Active,2014-2026,,ENG,,,Articles in Press,,Journal,,,,,,SAGE Publications Ltd,SAGE,2501; 2209,,,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,Materials Science ,,,,,,,,,,,
