ISBN,Unformatted ISBN,Book Title,ISSN,Volume,Supplement,Series Title,Year,Available Online,Shortcut URL,Publication Type,Imprint
978-0-443-44443-2,9780443444432,Impedance Techniques and Electrochemical Corrosion Kinetics,,,,Acta Materialia Book Series,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443444432,Book,Elsevier
978-0-443-44617-7,9780443446177,The Circular Economy and their Management,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443446177,Book,Elsevier
978-0-443-45068-6,9780443450686,Progress in Motor Control,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443450686,Book,Academic Press
978-0-443-45038-9,9780443450389,Advances in Dynamics and Control of Fractional Discrete Time Systems,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443450389,Book,Academic Press
978-0-443-44570-5,9780443445705,Functional and Virtual Medical 3D Imaging in Cardiovascular Medicine,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443445705,Book,Academic Press
978-0-443-45450-9,9780443454509,Applied Neuropsychology of Cerebrovascular Diseases,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443454509,Book,Academic Press
978-0-443-44185-1,9780443441851,Advanced Cancer Therapeutics,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443441851,Book,Academic Press
978-0-443-44502-6,9780443445026,Fundamentals and Applications of Nanofluids,,,,Micro and Nano Technologies,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443445026,Book,Elsevier
978-0-443-36649-9,9780443366499,"Inflammation in Tumorigenesis and Cancer Treatment, Volume 9",,,,Translational Immunology,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443366499,Book,Academic Press
978-0-443-42857-9,9780443428579,Genome Damage,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443428579,Book,Academic Press
978-0-443-33164-0,9780443331640,Green Nanomaterials for Energy and Environment,,,,Woodhead Publishing in Materials,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443331640,Book,Woodhead Publishing
978-0-443-27500-5,9780443275005,Biofunctional Cosmetics for Health,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443275005,Book,Academic Press
978-0-443-21987-0,9780443219870,Clinical Reproductive Immunology,,,,Reproductive Immunology,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443219870,Book,Academic Press
978-0-443-44079-3,9780443440793,Intelligent Gene Editing in Plants,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443440793,Book,Academic Press
978-0-443-28917-0,9780443289170,Photonics,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443289170,Book,Academic Press
978-0-443-36579-9,9780443365799,Recycled Polymers and their Composites,,,,Woodhead Publishing Series in Composites Science and Engineering,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443365799,Book,Woodhead Publishing
978-0-443-29166-1,9780443291661,Photonic Sensors for Detection of VOC Biomarkers,,,,,2025,2026/8/28,https://www.sciencedirect.com/science/book/9780443291661,Book,Elsevier
978-0-443-43818-9,9780443438189,Human Histology (Second Edition),,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443438189,Book,Academic Press
978-0-443-43824-0,9780443438240,Biosimilars and Biologics in Cancer Treatment,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443438240,Book,Academic Press
978-0-443-40375-0,9780443403750,Geomorphic Impacts of Earthquakes,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443403750,Book,Elsevier
978-0-443-27648-4,9780443276484,Whey,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443276484,Book,Academic Press
978-0-443-28945-3,9780443289453,Smart Aquaponic Farming,,,,,2026,2026/8/28,https://www.sciencedirect.com/science/book/9780443289453,Book,Academic Press
