Full Title,ISSN,Unformatted ISSN,Product ID,Change History,Shortcut URL
AACE Clinical Case Reports,2376-0605,23760605,30454,,https://www.sciencedirect.com/science/journal/23760605
AACE Endocrinology and Diabetes,3050-9157,30509157,30454,,https://www.sciencedirect.com/science/journal/30509157
aBIOTECH,2662-1738,26621738,32140,,https://www.sciencedirect.com/science/journal/26621738
Academic Pathology,2374-2895,23742895,31362,,https://www.sciencedirect.com/science/journal/23742895
Academic Pediatrics,1876-2859,18762859,07802,Formerly known as Ambulatory Pediatrics,https://www.sciencedirect.com/science/journal/18762859
Academic Radiology,1076-6332,10766332,13351,,https://www.sciencedirect.com/science/journal/10766332
Academy of Management Inside Organizations,3117-9878,31179878,32443,,https://www.sciencedirect.com/science/journal/31179878
Academy of Management Organizations and Their Environments,3117-9886,31179886,32444,,https://www.sciencedirect.com/science/journal/31179886
"Accelerator: Science, Technology &amp; Applications",3118-0019,31180019,32436,,https://www.sciencedirect.com/science/journal/31180019
Accident Analysis & Prevention,0001-4575,00014575,00336,,https://www.sciencedirect.com/science/journal/00014575
Accounting Open,3050-5461,30505461,32007,,https://www.sciencedirect.com/science/journal/30505461
"Accounting, Organizations and Society",0361-3682,03613682,00486,,https://www.sciencedirect.com/science/journal/03613682
Accounting Theory and Practice,2949-9453,29499453,31663,,https://www.sciencedirect.com/science/journal/29499453
Acta Adamantum,2773-224X,2773224X,31471,,https://www.sciencedirect.com/science/journal/2773224X
Acta Astronautica,0094-5765,00945765,00310,,https://www.sciencedirect.com/science/journal/00945765
Acta Biomaterialia,1742-7061,17427061,04067,,https://www.sciencedirect.com/science/journal/17427061
Acta Colombiana de Cuidado Intensivo,0122-7262,01227262,16845,,https://www.sciencedirect.com/science/journal/01227262
Acta Histochemica,0065-1281,00651281,10000,,https://www.sciencedirect.com/science/journal/00651281
Acta Materialia,1359-6454,13596454,00221,Formerly part of Acta Metallurgica et Materialia; Incorporating Nanostructured Materials,https://www.sciencedirect.com/science/journal/13596454
Acta Oecologica,1146-609X,1146609X,09000,,https://www.sciencedirect.com/science/journal/1146609X
Acta Otorrinolaringologica (English Edition),2173-5735,21735735,15795,,https://www.sciencedirect.com/science/journal/21735735
Acta Otorrinolaringológica Española,0001-6519,00016519,15720,,https://www.sciencedirect.com/science/journal/00016519
Acta Pharmaceutica Sinica B,2211-3835,22113835,08775,,https://www.sciencedirect.com/science/journal/22113835
Acta Physico-Chimica Sinica,1000-6818,10006818,32008,,https://www.sciencedirect.com/science/journal/10006818
Acta Psychologica,0001-6918,00016918,05251,,https://www.sciencedirect.com/science/journal/00016918
Acta Psychologica Clinical,3118-0558,31180558,32469,,https://www.sciencedirect.com/science/journal/31180558
Acta Psychologica Consumer,3118-0523,31180523,32466,,https://www.sciencedirect.com/science/journal/31180523
Acta Psychologica Developmental,3118-054X,3118054X,32468,,https://www.sciencedirect.com/science/journal/3118054X
Acta Psychologica Reports,3117-9894,31179894,32430,,https://www.sciencedirect.com/science/journal/31179894
Acta Psychologica Social,3118-0434,31180434,32471,,https://www.sciencedirect.com/science/journal/31180434
Acta Tropica,0001-706X,0001706X,05083,,https://www.sciencedirect.com/science/journal/0001706X
Actas Urológicas Españolas,0210-4806,02104806,15762,,https://www.sciencedirect.com/science/journal/02104806
Actas Urológicas Españolas (English Edition),2173-5786,21735786,15794,,https://www.sciencedirect.com/science/journal/21735786
Actualités Pharmaceutiques,0515-3700,05153700,09076,,https://www.sciencedirect.com/science/journal/05153700
Ad Hoc Networks,1570-8705,15708705,05481,,https://www.sciencedirect.com/science/journal/15708705
Addiction Neuroscience,2772-3925,27723925,31224,,https://www.sciencedirect.com/science/journal/27723925
Addictive Behaviors,0306-4603,03064603,00471,,https://www.sciencedirect.com/science/journal/03064603
Addictive Behaviors Reports,2352-8532,23528532,18120,,https://www.sciencedirect.com/science/journal/23528532
Additive Manufacturing,2214-8604,22148604,17059,,https://www.sciencedirect.com/science/journal/22148604
Additive Manufacturing Frontiers,2950-4317,29504317,31294,,https://www.sciencedirect.com/science/journal/29504317
Additive Manufacturing Letters,2772-3690,27723690,31214,,https://www.sciencedirect.com/science/journal/27723690
Advanced AgroChem,2773-2371,27732371,31473,,https://www.sciencedirect.com/science/journal/27732371
Advanced Bionics,2950-3876,29503876,31782,,https://www.sciencedirect.com/science/journal/29503876
Advanced Design Research,2949-7825,29497825,31529,,https://www.sciencedirect.com/science/journal/29497825
Advanced Drug Delivery Reviews,0169-409X,0169409X,05000,,https://www.sciencedirect.com/science/journal/0169409X
Advanced Engineering Informatics,1474-0346,14740346,02007,Formerly known as Artificial Intelligence in Engineering,https://www.sciencedirect.com/science/journal/14740346
Advanced Exercise and Health Science,2950-273X,2950273X,31709,,https://www.sciencedirect.com/science/journal/2950273X
Advanced Functional Crystals,3118-0167,31180167,32451,,https://www.sciencedirect.com/science/journal/31180167
Advanced Industrial and Engineering Polymer Research,2542-5048,25425048,18401,,https://www.sciencedirect.com/science/journal/25425048
Advanced Interventional Materials,3051-1577,30511577,32167,,https://www.sciencedirect.com/science/journal/30511577
Advanced Light Materials,3117-3144,31173144,32232,,https://www.sciencedirect.com/science/journal/31173144
Advanced Membranes,2772-8234,27728234,31352,,https://www.sciencedirect.com/science/journal/27728234
Advanced Nanocomposites,2949-9445,29499445,31614,,https://www.sciencedirect.com/science/journal/29499445
Advanced Oral Science,3118-0361,31180361,32458,,https://www.sciencedirect.com/science/journal/31180361
Advanced Orthopaedics,3050-7170,30507170,32088,,https://www.sciencedirect.com/science/journal/30507170
Advanced Powder Materials,2772-834X,2772834X,31366,,https://www.sciencedirect.com/science/journal/2772834X
Advanced Powder Technology,0921-8831,09218831,08668,,https://www.sciencedirect.com/science/journal/09218831
Advanced Scientific Instruments,3117-3748,31173748,32248,,https://www.sciencedirect.com/science/journal/31173748
Advanced Sensor and Energy Materials,2773-045X,2773045X,31421,,https://www.sciencedirect.com/science/journal/2773045X
Advances in Accounting,0882-6110,08826110,05609,Incorporating Advances in International Accounting,https://www.sciencedirect.com/science/journal/08826110
Advances in Anesthesia,0737-6146,07376146,13139,,https://www.sciencedirect.com/science/journal/07376146
Advances in Animal Biosciences,2040-4700,20404700,31194,,https://www.sciencedirect.com/science/journal/20404700
Advances in Applied Energy,2666-7924,26667924,30446,,https://www.sciencedirect.com/science/journal/26667924
Advances in Applied Mathematics,0196-8858,01968858,12001,,https://www.sciencedirect.com/science/journal/01968858
