"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"1616-ANUARIO DE LITERATURA COMPARADA","0210-7287","2445-2262","EDICIONES UNIV SALAMANCA","Plaza de San Benito, 2, SALAMANCA, Spain, CP 37002","Multi-Language","Literature"
"3D PRINTING IN MEDICINE","","2365-6271","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","English","Radiology, Nuclear Medicine & Medical Imaging"
"3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES","0128-5157","2550-2247","PENERBIT UNIV KEBANGSAAN MALAYSIA","PENERBIT UNIV KEBANGSAAN MALAYSIA, FAC SOCIAL SCIENCES & HUMANITIES, BANGI, Malaysia, SELANGOR, 43600","English","Language & Linguistics | Literature | Linguistics"
"452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA","","2013-3294","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007","Multi-Language","Literature"
"AACE ENDOCRINOLOGY AND DIABETES","","3050-9157","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Endocrinology & Metabolism"
"AACN ADVANCED CRITICAL CARE","1559-7768","1559-7776","AMER ASSOC CRITICAL CARE NURSES","101 COLUMBIA, ALISO VIEJO, USA, CA, 92656","English","Nursing"
"AAPPS BULLETIN","","2309-4710","SPRINGERNATURE","THE CAMPUS, 4 CRINAN ST, LONDON, England, N1 9XW","","Physics, Multidisciplinary"
"A & A PRACTICE","2575-3126","2575-3126","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Anesthesiology"
"ABAKOS","2316-9451","2316-9451","PONTIFICIA UNIV CATOLICA MINAS GERAIS","DEPT CIENCIAS BIOLOGICAS, AV DOM JOSE GASPAR 500, CORACAO EUCARISTICO, CEP: 30.535-610, BELO HORIZONTE, BRAZIL, MG, 00000","Multi-Language","Mathematics, Interdisciplinary Applications"
"ABANICO VETERINARIO","2007-4204","2448-6132","SERGIO MARTINEZ GONZALEZ","TEZONTLE 171 PEDREGAL SAN JUAN, TEPIC NAYARIT, MEXICO, C P 63164","Spanish","Veterinary Sciences"
"ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY","0102-6720","2317-6326","COLEGIO BRASILEIRO CIRURGIA DIGESTIVA-CBCD","AV BRIGADEIRO LUIZ ANTONIO, 278-6-SALAS 10 E 11, SAO PAULO SP, BRAZIL, 01318-901","Multi-Language","Gastroenterology & Hepatology"
"ABE JOURNAL","2275-6639","2275-6639","INVISU-CNRS-INHA, INST NAT HISTOIRE ART","2 RUE VIVIENNE, PARIS, FRANCE, 75002","English","Architecture"
"ABIOTECH","2096-6326","2662-1738","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Biotechnology & Applied Microbiology | Plant Sciences"
"ABORIGINAL HISTORY","0314-8769","1837-9389","AUSTRALIAN NATL UNIV, DEPT HISTORY","J B CHIFLEY BLDG NO 15, CANBERRA, AUSTRALIA, ACT  0200","English","History"
"ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL","2014-8526","2014-8534","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007","Multi-Language","Humanities, Multidisciplinary"
"ACADEMIA Y VIRTUALIDAD","2011-0731","2011-0731","UNIV MILITAR NUEVA GRANADA","FAC DERECHO, SEDE BOGOTA CRA 11 N 101-80, BOGOTA, COLOMBIA, 00000","Spanish","Education & Educational Research"
"ACADEMIC JOURNAL OF MODERN PHILOLOGY","2299-7164","2353-3218","COMMITTEE PHILOLOGY POLISH ACAD SCIENCES, WROCLAW BRANCH","COMMITTEE PHILOLOGY POLISH ACAD SCIENCES, WROCLAW BRANCH, WROCLAW , Poland, 00000","Multi-Language","Language & Linguistics"
"ACADEMIC PATHOLOGY","2374-2895","2374-2895","ELSEVIER SCIENCE INC","101 Park Avenue, 24th Floor, NEW YORK, United States, NY, 10178","English","Pathology"
"ACADEMY REVIEW","2074-5354","2522-9745","ALFRED NOBEL UNIV","SICHESLAVSKA NABEREZHNA ST, 18, DNIPRO, UKRAINE, 49000","Multi-Language","Business, Finance | Economics | Management"
"ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY","","2683-1007","ACCESS PRESS PUBLISHING HOUSE","32 Alexander Burmov, Veliko Tarnovo, Bulgaria, 5000","English","Business | Computer Science, Interdisciplinary Applications | Economics | Management"
"ACCESS TO JUSTICE IN EASTERN EUROPE","2663-0575","2663-0583","EAST EUROPEAN LAW RESEARCH CENTER","BANDERY STEPANA STR., 20A, KYIV, UKRAINE,","English","Law"
"ACCIONES E INVESTIGACIONES SOCIALES","1132-192X","2340-4507","UNIV ZARAGOZA, ESCUELA UNIV ESTUDIOS SOCIALES","VIOLANTE HUNDRIA, 23, ZARAGOZA, SPAIN, 50009","Spanish","Social Sciences, Interdisciplinary"
"ACCION PSICOLOGICA","1578-908X","2255-1271","UNIV NACL EDUCACION A DISTANCIA-UNED, CENTRAL LIBRARY","C/ Senda del Rey, 5, MADRID, Spain, 28040","Multi-Language","Psychology, Multidisciplinary"
"ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM","2194-6051","2152-2820","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Business, Finance"
"ACCOUNTING EDUCATION","0963-9284","1468-4489","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"ACCOUNTING HISTORIANS JOURNAL","0148-4184","2327-4468","AMER ACCOUNTING ASSOC","9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202","English","Business, Finance"
"ACCOUNTING HISTORY","1032-3732","1749-3374","SAGE PUBLICATIONS LTD","105 Bunhill Row, LONDON, England, EC1Y 8LZ","English","Business, Finance"
"ACCOUNTING HISTORY REVIEW","2155-2851","2155-286X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business"
"ACCOUNTING IN EUROPE","1744-9480","1744-9499","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business, Finance"
"ACCOUNTING PERSPECTIVES","1911-382X","1911-3838","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Business, Finance"
"ACCOUNTING RESEARCH JOURNAL","1030-9616","1839-5465","EMERALD GROUP PUBLISHING LTD","Floor 5, Northspring 21-23 Wellington Street, Leeds, England, W YORKSHIRE, LS1 4DL","English","Business, Finance"
"ACCOUNTS OF MATERIALS RESEARCH","","2643-6728","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Multidisciplinary | Materials Science, Multidisciplinary"
