"Journal title","List","Official source","Source checked"
"The Accounting Review","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Accounting and Economics","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Accounting Research","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Finance","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Financial Economics","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"The Review of Financial Studies","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Information Systems Research","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal on Computing","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"MIS Quarterly","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Consumer Research","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Marketing","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Marketing Research","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Marketing Science","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Management Science","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Operations Research","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of Operations Management","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Manufacturing and Service Operations Management","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Production and Operations Management","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Academy of Management Journal","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Academy of Management Review","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Administrative Science Quarterly","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Organization Science","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Journal of International Business Studies","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"
"Strategic Management Journal","UTD24","https://jindal.utdallas.edu/the-utd-top-100-business-school-research-rankings/","2026-07-26"

